Month_Year,State_Name,Revenue_Amt,Net_Result
2024-02-01,Florida,38951.379999999997,-2208.2600000000002
2024-03-01,Florida,33314.949999999997,-706.67999999999995
2022-04-01,New York,36958.209999999999,4265.5799999999999
2022-05-01,New York,5028.1099999999997,-754.22000000000003
2022-06-01,New York,26389.25,-2904.3400000000001
2022-07-01,New York,14905.35,1192.4300000000001
2022-08-01,New York,22091.740000000002,-5522.9399999999996
2022-09-01,New York,32574.700000000001,-5245.0100000000002
2022-10-01,New York,20830.91,-2920.2800000000002
2022-11-01,New York,10001.09,2500.27
2022-12-01,New York,15962.879999999999,-2394.4299999999998
2023-01-01,New York,35062.5,-4082.0900000000001
2023-02-01,New York,23794.110000000001,-2855.29
2023-03-01,New York,40468.809999999998,-3237.5
2023-04-01,New York,9628.9099999999999,481.44999999999999
2023-05-01,New York,24570.169999999998,8353.8600000000006
2023-06-01,New York,49323.059999999998,9988.0900000000001
2023-07-01,New York,45187.300000000003,-9302.5
2023-08-01,New York,44891.110000000001,-3232.1700000000001
2023-09-01,New York,12877.370000000001,3348.1199999999999
2023-10-01,New York,10881.309999999999,2344.71
2023-11-01,New York,34389.589999999997,-4274.29
2023-12-01,New York,20458.240000000002,4755.9499999999998
2024-01-01,New York,34554.120000000003,6681.0900000000001
2024-02-01,New York,19416.799999999999,1553.3399999999999
2024-03-01,New York,13446.1,-148.66999999999999
2022-04-01,Pennsylvania,40203.239999999998,3947.48
2022-05-01,Pennsylvania,9211.7700000000004,2829.25
2022-06-01,Pennsylvania,26005.060000000001,2878.46
2022-07-01,Pennsylvania,28017.75,9557.0699999999997
2022-08-01,Pennsylvania,31999.5,-1705.29
2022-09-01,Pennsylvania,19977.060000000001,2996.5599999999999
2022-10-01,Pennsylvania,26987.59,520.59000000000003
2022-11-01,Pennsylvania,47951.32,-5498.5299999999997
2022-12-01,Pennsylvania,26730.610000000001,-271.75999999999999
2023-01-01,Pennsylvania,45065.760000000002,-2595.6999999999998
2023-02-01,Pennsylvania,46149.720000000001,9667
2023-03-01,Pennsylvania,32393.07,-2233.6199999999999
2023-04-01,Pennsylvania,23481.040000000001,1643.6700000000001
2023-05-01,Pennsylvania,11619.26,2465.9499999999998
2023-06-01,Pennsylvania,47088.489999999998,9417.7000000000007
2023-07-01,Pennsylvania,18555.299999999999,6494.3599999999997
2023-08-01,Pennsylvania,7732.4300000000003,301.44
2023-09-01,Pennsylvania,47647.709999999999,1905.9100000000001
2023-10-01,Pennsylvania,37426.830000000002,2438.0500000000002
2023-11-01,Pennsylvania,11403.24,3877.0999999999999
2023-12-01,Pennsylvania,29717.810000000001,3375.4299999999998
2024-01-01,Pennsylvania,47934.110000000001,-1621.6800000000001
2024-02-01,Pennsylvania,31346.75,-3533.0999999999999
2024-03-01,Pennsylvania,23202.959999999999,6705.1099999999997
2022-04-01,Illinois,34155.209999999999,-5123.2799999999997
2022-05-01,Illinois,19391.93,1551.3499999999999
2022-06-01,Illinois,18847.400000000001,-4711.8500000000004
2022-07-01,Illinois,14889.540000000001,-3837.6100000000001
2022-08-01,Illinois,21627,-2733.9899999999998
2022-09-01,Illinois,49289.860000000001,-3943.1900000000001
2022-10-01,Illinois,11939.1,-596.96000000000004
2022-11-01,Illinois,9096.9799999999996,-2274.25
2022-12-01,Illinois,11385.809999999999,569.28999999999996
2023-01-01,Illinois,36050.32,-336.64999999999998
2023-02-01,Illinois,32866.540000000001,-1563.0999999999999
2023-03-01,Illinois,45112.739999999998,-3143.8200000000002
2023-04-01,Illinois,35284.959999999999,7329.6700000000001
2023-05-01,Illinois,38168.5,-897.84000000000003
2023-06-01,Illinois,28451.110000000001,675.29999999999995
2023-07-01,Illinois,34692.730000000003,9276.8700000000008
2023-08-01,Illinois,41981.25,5491.8299999999999
2023-09-01,Illinois,40382.669999999998,-5822.4700000000003
2023-10-01,Illinois,49091.989999999998,-3824.2600000000002
2023-11-01,Illinois,24774.419999999998,9426.8500000000004
2023-12-01,Illinois,19026.599999999999,1698
2024-01-01,Illinois,23426.369999999999,5216.4700000000003
2024-02-01,Illinois,5471.0200000000004,1313.04
2024-03-01,Illinois,13273.23,5383.8800000000001
2022-04-01,Ohio,42922.82,753.53999999999996
2022-05-01,Ohio,15402.280000000001,4620.6800000000003
2022-06-01,Ohio,15759.5,2363.9299999999998
2022-07-01,Ohio,8451.1000000000004,422.56
2022-08-01,Ohio,16057.57,-2408.6399999999999
2022-09-01,Ohio,37946.080000000002,-3035.6900000000001
2022-10-01,Ohio,43135.389999999999,9541.9799999999996
2022-11-01,Ohio,27388.73,1369.4400000000001
2022-12-01,Ohio,22455.91,4519.6599999999999
2023-01-01,Ohio,16090.200000000001,5713.7600000000002
2023-02-01,Ohio,9999.3400000000001,1199.9200000000001
2023-03-01,Ohio,22549.75,-1803.98
2023-04-01,Ohio,30737.09,6147.4200000000001
2023-05-01,Ohio,14760.17,-295.19999999999999
2023-06-01,Ohio,25014.560000000001,8504.9500000000007
2023-07-01,Ohio,14809.58,3850.4899999999998
2023-08-01,Ohio,27603.48,9721.0900000000001
2023-09-01,Ohio,20925.709999999999,5231.4300000000003
2023-10-01,Ohio,34249.330000000002,8106.1899999999996
2023-11-01,Ohio,21862.130000000001,1526.04
2023-12-01,Ohio,20995.040000000001,-1049.75
2024-01-01,Ohio,29015.959999999999,-1003.95
2024-02-01,Ohio,38315.050000000003,4130.04
2024-03-01,Ohio,14949.629999999999,-298.99000000000001
2022-04-01,Georgia,23573.580000000002,-1178.6800000000001
2022-05-01,Georgia,16955.900000000001,3615.75
2022-06-01,Georgia,33348.790000000001,-2000.9300000000001
2022-07-01,Georgia,13272.280000000001,6631.3699999999999
2022-08-01,Georgia,43863.989999999998,6579.6000000000004
2022-09-01,Georgia,38595.559999999998,7719.1099999999997
2022-10-01,Georgia,35072.809999999998,1052.1800000000001
2022-11-01,Georgia,32810.800000000003,-2296.7600000000002
2022-12-01,Georgia,21750.709999999999,9012.4300000000003
2023-01-01,Georgia,28842.610000000001,-1442.1300000000001
2023-02-01,Georgia,44360.709999999999,-1774.4300000000001
2023-03-01,Georgia,31178.75,7482.8999999999996
2023-04-01,Georgia,42789.550000000003,949.19000000000005
2023-05-01,Georgia,19060.169999999998,2884.8000000000002
2023-06-01,Georgia,36873.059999999998,1925.27
2023-07-01,Georgia,16925.799999999999,3892.9299999999998
2023-08-01,Georgia,31745.439999999999,7822.29
2023-09-01,Georgia,26658.040000000001,2525.1399999999999
2023-10-01,Georgia,16926.470000000001,-2538.9699999999998
2023-11-01,Georgia,30406.57,-2235.9099999999999
2023-12-01,Georgia,46093.470000000001,-6790.5
2024-01-01,Georgia,45584.349999999999,7251.04
2024-02-01,Georgia,17337.5,7801.8800000000001
2024-03-01,Georgia,19466.720000000001,1272.8900000000001
2022-04-01,North Carolina,49353.839999999997,-3409.0500000000002
2022-05-01,North Carolina,32899.699999999997,9932.3400000000001
2022-06-01,North Carolina,47179.129999999997,-5303.6099999999997
2022-07-01,North Carolina,25993.970000000001,2253.4400000000001
2022-08-01,North Carolina,23307.470000000001,-7836.4300000000003
2022-09-01,North Carolina,34665.360000000001,-259.35000000000002
2022-10-01,North Carolina,11855.6,-711.34000000000003
2022-11-01,North Carolina,30779.02,-615.58000000000004
2022-12-01,North Carolina,15742.67,2361.4000000000001
2023-01-01,North Carolina,48306.150000000001,1677.45
2023-02-01,North Carolina,32061.459999999999,4634.1499999999996
2023-03-01,North Carolina,28176.34,3944.6900000000001
2023-04-01,North Carolina,23115.799999999999,7329.3599999999997
2023-05-01,North Carolina,44611.089999999997,4171.4799999999996
2023-06-01,North Carolina,21384.130000000001,5207.9899999999998
2023-07-01,North Carolina,17970.77,2336.1999999999998
2023-08-01,North Carolina,12679.040000000001,-1521.48
2023-09-01,North Carolina,12747.73,3466.6500000000001
2023-10-01,North Carolina,26691.919999999998,476.44999999999999
2023-11-01,North Carolina,16383.42,-1310.6700000000001
2023-12-01,North Carolina,14731.469999999999,-1031.2
2024-01-01,North Carolina,35346.940000000002,-706.94000000000005
2024-02-01,North Carolina,7144.8599999999997,1071.73
2024-03-01,North Carolina,36538.389999999999,7801.5600000000004
2022-04-01,Michigan,20834.990000000002,6236.5500000000002
2022-05-01,Michigan,23402.48,4950.3299999999999
2022-06-01,Michigan,41942.809999999998,-2097.1399999999999
2022-07-01,Michigan,46348.580000000002,6952.29
2022-08-01,Michigan,17713.77,6731.2299999999996
2022-09-01,Michigan,48249.720000000001,5789.9700000000003
2022-10-01,Michigan,37777.75,-719.66999999999996
2022-11-01,Michigan,35886.879999999997,-1435.48
2022-12-01,Michigan,7377.9799999999996,1698.73
2023-01-01,Michigan,22784.91,-683.54999999999995
2023-02-01,Michigan,26503.040000000001,5300.6099999999997
2023-03-01,Michigan,30211.400000000001,3824.1599999999999
2023-04-01,Michigan,36421.769999999997,9105.4400000000005
2023-05-01,Michigan,46205.760000000002,6207.96
2023-06-01,Michigan,32825.809999999998,-1641.29
2023-07-01,Michigan,24278.970000000001,6440.6000000000004
2023-08-01,Michigan,29393.619999999999,-1451.4300000000001
2023-09-01,Michigan,7631.5299999999997,2823.6700000000001
2023-10-01,Michigan,16738.560000000001,3247.71
2023-11-01,Michigan,22871.84,-1109.45
2023-12-01,Michigan,13898.51,2542.9200000000001
2024-01-01,Michigan,42436.739999999998,-2970.5700000000002
2024-02-01,Michigan,11879.93,-950.38999999999999
2024-03-01,Michigan,41153.830000000002,4097.4399999999996
